 310246.000000 0.325691 1.615236 0.000000 -8.657270 0.180413 0.119677 128.970443 28.000000 153.467537
 320656.000000 0.346891 1.402050 0.000000 -10.894518 0.717844 0.141371 157.582526 24.000000 151.071734
 222405.000000 0.319780 2.532575 0.000000 1.877063 0.724531 0.150255 126.387927 23.000000 152.563929
 23604.000000 0.319716 0.961576 0.000000 -11.000000 -1.432363 0.150298 8.209791 13.000000 81.086138
 82898.000000 0.343904 2.166791 0.000000 -5.833745 -0.323420 0.146273 36.728189 17.000000 96.913783
 144913.000000 0.348621 1.265625 0.000000 -11.000000 0.538483 0.120294 63.248167 23.000000 133.671339
 97945.000000 0.349575 1.095606 0.000000 -11.000000 -0.218163 0.214985 47.714314 12.000000 61.808494
 83550.000000 0.340554 1.549875 0.000000 -10.448681 0.311992 0.154943 38.904128 19.000000 110.433709
 37425.000000 0.309279 1.145978 0.000000 -11.000000 -0.609963 0.127762 13.151431 12.000000 81.018015
 262377.000000 0.343303 1.284923 0.000000 -11.000000 0.951623 0.122528 143.090152 26.000000 139.456527
 265360.000000 0.340911 0.675179 0.000000 -11.000000 0.452570 0.120235 115.229852 26.000000 145.091087
 155619.000000 0.344664 1.794777 0.000000 -8.171849 0.682830 0.133049 70.897517 21.000000 121.444453
 387986.000000 0.346652 1.292111 0.000000 -11.000000 0.435272 0.132696 183.787933 26.000000 178.147437
 215137.000000 0.344751 1.752138 0.000000 -7.809161 0.239874 0.146388 94.554630 25.000000 150.506849
 72139.000000 0.337907 2.111394 0.000000 -5.574013 -0.095680 0.163313 32.131317 17.000000 110.517111
 40476.000000 0.344575 1.459466 0.000000 -11.000000 -2.754381 0.136390 15.571204 15.000000 97.627008
 60275.000000 0.344538 2.184032 0.000000 -5.118591 -1.814974 0.143566 26.188823 17.000000 82.498932
 61811.000000 0.334450 1.051414 0.000000 -11.000000 -0.022194 0.164590 29.914893 14.000000 93.189112
 329469.000000 0.338475 1.203606 0.000000 -11.000000 0.688704 0.145208 170.372151 25.000000 157.659439
 243581.000000 0.335561 0.577339 0.000000 -11.000000 0.451484 0.138511 88.562748 24.000000 131.502254
 36086.000000 0.342333 1.540210 0.000000 -7.449037 -2.118628 0.089968 11.268409 16.000000 110.917257
 54868.000000 0.346061 0.960233 0.000000 -11.000000 -1.354530 0.128735 18.236963 16.000000 101.073182
 8655.000000 0.334327 2.035642 0.000000 -11.000000 -3.374088 0.337059 4.195539 4.000000 39.957468
 184522.000000 0.337164 1.071754 0.000000 -11.000000 0.716089 0.125226 92.237776 23.000000 129.502334
 57116.000000 0.326836 1.438568 0.000000 -11.000000 0.078519 0.160279 21.114195 14.000000 81.670777
 8869.000000 0.331635 1.665599 0.000000 -11.000000 -2.670717 0.358126 5.329511 5.000000 25.398638
 14756.000000 0.345940 1.746035 0.000000 -8.746864 -1.590786 0.235667 6.847350 9.000000 42.074995
 110569.000000 0.340113 1.310961 0.000000 -11.000000 -0.438475 0.113574 43.531395 20.000000 125.624954
 484457.000000 0.335059 1.782033 0.000000 -6.925078 1.031675 0.126726 237.868828 29.000000 172.106743
 8882.000000 0.343159 1.901067 0.000000 -11.000000 -2.868474 0.295797 3.744069 4.000000 35.025798
 168025.000000 0.337928 0.800475 0.000000 -11.000000 0.421708 0.126088 76.684445 25.000000 158.147009
 160953.000000 0.317352 1.439354 0.000000 -10.284208 0.300073 0.126564 78.481867 26.000000 142.316739
 105369.000000 0.333820 2.248591 0.000000 -6.859089 0.467829 0.158364 60.547845 17.000000 98.351814
 107810.000000 0.349429 2.199965 0.000000 -6.611453 0.495180 0.116715 51.484345 19.000000 103.125509
 155882.000000 0.328847 1.630413 0.000000 -9.697019 0.625140 0.125086 73.182719 22.000000 110.243586
