 465000.000000 2.669849 10.751491 31.597206 8.026765
 166000.000000 2.232063 0.444426 12.222988 2.558320
 82000.000000 2.337493 0.702528 6.133304 1.576010
 391000.000000 2.300845 1.916469 27.097198 6.586782
 99000.000000 2.398342 1.221858 7.211823 1.788442
 274000.000000 1.798828 0.254525 19.567428 3.594148
 128000.000000 2.350039 0.605427 9.278327 2.092542
 603000.000000 2.598029 10.860712 39.955025 13.861601
 328000.000000 1.927336 1.318971 22.818483 5.045201
 297000.000000 2.735275 5.014059 20.978806 4.481368
 433000.000000 2.387880 4.669238 29.508877 7.884299
 521000.000000 2.278654 2.975038 35.519119 9.503547
 374000.000000 2.256384 1.220103 26.070759 5.046973
 69000.000000 1.787722 0.356991 5.050074 1.343554
 129000.000000 2.555948 3.468359 9.383378 1.981574
 364000.000000 2.670224 8.685516 25.327468 5.764455
 142000.000000 2.498924 3.232626 10.394638 2.249489
 299000.000000 2.488894 6.501338 20.854842 4.779674
 77000.000000 2.546899 1.857927 5.714952 1.665852
 59000.000000 1.952491 0.000000 4.247645 1.411486
 1087000.000000 2.319049 8.009968 68.522080 34.783475
 463000.000000 2.181913 1.948010 32.195840 7.246033
 281000.000000 2.357634 2.395934 19.852665 4.136311
 219000.000000 2.639932 5.654644 15.764758 3.059763
 84000.000000 2.523595 1.884942 6.150005 1.541792
 274000.000000 2.322200 0.980227 19.388491 3.696753
 604000.000000 2.086416 2.488358 40.131053 11.791123
 637000.000000 2.502289 10.826243 42.217543 13.063688
 552000.000000 2.275083 3.613111 37.859097 8.704541
 344000.000000 1.953219 1.856869 24.358381 4.534226
 240000.000000 2.477134 3.610352 16.977368 3.407004
 274000.000000 2.433521 5.531083 19.229636 4.164800
 405000.000000 2.368600 2.751878 28.017350 5.524719
 146000.000000 2.574510 3.589171 10.849834 2.178067
 266000.000000 2.476755 5.329245 19.097945 3.833857
 8000.000000 2.477941 0.000000 0.400000 1.008559
 248000.000000 2.252557 0.280691 17.790903 3.528472
 264000.000000 1.857091 0.598990 18.520634 4.060389
 334000.000000 2.583346 6.807371 23.198081 5.030181
 15000.000000 2.362003 0.146714 0.800000 1.023062
 131000.000000 2.070096 0.331361 9.763804 2.032458
 76000.000000 1.890007 0.000000 5.758835 1.521823
 212000.000000 2.344841 0.946877 15.427824 2.836140
 34000.000000 2.201882 0.002727 2.375598 1.177633
 169000.000000 2.478572 2.813798 12.200328 2.737769
 227000.000000 2.246207 0.702619 16.268765 3.181015
 802000.000000 2.490924 11.081881 52.938691 16.137987
 81000.000000 2.385500 0.626699 6.263263 1.347670
 294000.000000 2.213692 1.109908 20.677583 4.417101
 392000.000000 2.295432 2.131364 27.363988 6.334566
 392000.000000 2.728313 7.057143 27.349264 5.653975
 787000.000000 2.626819 13.144768 51.514352 20.431891
 112000.000000 1.453536 0.000000 8.469255 1.613727
 265000.000000 1.875261 0.938346 18.967580 3.510861
 243000.000000 2.647624 6.834115 17.311088 3.390448
 44000.000000 2.094904 0.000000 3.148656 1.200417
 244000.000000 1.838229 1.050751 17.486936 3.243583
 37000.000000 2.321871 0.006177 2.752260 1.196120
 605000.000000 1.846166 1.572805 40.483381 11.321885
 511000.000000 1.718400 1.300282 34.938756 8.700049
 1191000.000000 1.453818 0.546480 74.602722 46.640244
 279000.000000 2.539608 5.904294 19.664057 4.419679
 223000.000000 2.512404 4.684273 16.257035 2.669315
 348000.000000 2.356001 2.415616 23.800729 6.531014
 195000.000000 2.709756 5.127603 13.749578 3.154353
 445000.000000 2.072963 1.861704 30.676353 6.719637
 11000.000000 2.405948 0.000000 0.793417 1.044754
 90000.000000 2.180440 0.002603 6.551765 1.522750
 139000.000000 2.355448 0.930990 10.016394 2.171559
 92000.000000 2.429534 1.745610 6.896016 1.553841
 100000.000000 2.148470 0.000000 7.321381 1.624335
 141000.000000 2.559404 4.127957 10.504624 1.951062
 621000.000000 1.853881 2.059532 41.319676 13.769465
 123000.000000 2.468229 1.441837 8.877588 2.315354
 531000.000000 2.129595 0.742413 35.817314 10.969011
 184000.000000 1.959403 0.085757 13.090384 2.860621
 469000.000000 2.611694 9.786835 31.923932 7.721577
 72000.000000 2.359185 0.558484 5.405853 1.480341
 194000.000000 2.775206 1.990892 13.738637 3.128754
 421000.000000 2.402073 5.281821 29.454111 5.924726
 408000.000000 2.601368 8.888456 27.957400 6.756425
 636000.000000 2.150423 1.698187 42.287359 13.399558
 237000.000000 2.016179 0.684850 17.307080 2.823844
 331000.000000 2.329611 1.515164 23.386935 4.620379
 470000.000000 1.492455 0.000000 31.779785 7.749092
 247000.000000 1.777050 0.347344 17.788763 3.612337
 543000.000000 2.352197 4.510940 36.681931 9.937828
 189000.000000 2.450092 3.210790 13.325745 3.047807
 297000.000000 2.488166 6.550994 21.085879 4.056324
 477000.000000 1.913849 1.582839 32.197086 9.280773
 357000.000000 2.304383 0.952522 25.140769 4.857264
 139000.000000 2.469870 1.586650 9.990873 2.406279
 218000.000000 2.557368 5.442187 15.710116 2.910891
 125000.000000 1.030642 0.000000 9.068430 1.987850
 252000.000000 1.559301 0.052708 18.026055 3.422919
 180000.000000 2.488829 3.504952 12.765959 2.690989
 98000.000000 2.763953 1.470947 7.263492 1.666033
 217000.000000 2.606837 6.365293 15.365726 3.436871
 354000.000000 2.423325 5.244311 24.143889 6.094655
 276000.000000 2.107908 0.616089 19.607357 4.195406
